2.00,2018.00,128.00
2.00,2018.00,119.00
2.00,2018.00,88.00
2.00,2018.00,96.00
3.00,2018.00,100.00
6.00,2017.00,98.00
1.00,2018.00,138.00
1.00,2018.00,99.00
2.00,2018.00,104.00
6.00,2017.00,95.00
9.00,2017.00,150.00
18.00,2017.00,91.00
7.00,2017.00,90.00
1.00,2018.00,91.00
2.00,2018.00,107.00
2.00,2018.00,140.00
2.00,2018.00,97.00
6.00,2018.00,92.00
1.00,2018.00,101.00
2.00,2018.00,97.00
2.00,2018.00,90.00
7.00,2017.00,119.00
8.00,2018.00,123.00
12.00,2018.00,100.00
1.00,2018.00,103.00
1.00,2018.00,120.00
2.00,2018.00,105.00
2.00,2018.00,140.00
2.00,2018.00,107.00
2.00,2018.00,93.00
6.00,2018.00,106.00
18.00,2017.00,112.00
2.00,2018.00,110.00
8.00,2018.00,148.00
2.00,2018.00,111.00
10.00,2016.00,90.00
6.00,2018.00,89.00
2.00,2018.00,111.00
3.00,2018.00,103.00
1.00,2018.00,120.00
2.00,2018.00,118.00
1.00,2018.00,110.00
1.00,2018.00,89.00
2.00,2018.00,115.00
2.00,2018.00,118.00
1.00,2018.00,114.00
1.00,2018.00,98.00
2.00,2018.00,100.00
1.00,2017.00,136.00
1.00,2018.00,138.00
2.00,2018.00,107.00
2.00,2018.00,90.00
1.00,2018.00,116.00
1.00,2017.00,120.00
2.00,2018.00,111.00
2.00,2018.00,100.00
1.00,2017.00,99.00
2.00,2017.00,104.00
2.00,2018.00,139.00
2.00,2018.00,140.00
3.00,2018.00,109.00
18.00,2017.00,104.00
1.00,2018.00,90.00
2.00,2018.00,134.00
1.00,2018.00,138.00
1.00,2018.00,99.00
1.00,2017.00,129.00
2.00,2017.00,123.00
2.00,2016.00,79.00
6.00,2018.00,113.00
2.00,2018.00,139.00
2.00,2018.00,111.00
1.00,2018.00,120.00
2.00,2018.00,95.00
1.00,2018.00,90.00
12.00,2017.00,106.00
2.00,2018.00,148.00
2.00,2018.00,86.00
2.00,2017.00,134.00
2.00,2018.00,94.00
2.00,2017.00,142.00
1.00,2017.00,115.00
2.00,2018.00,130.00
2.00,2017.00,133.00
2.00,2018.00,105.00
4.00,2017.00,112.00
1.00,2018.00,110.00
8.00,2017.00,139.00
2.00,2017.00,116.00
2.00,2018.00,130.00
1.00,2018.00,110.00
2.00,2018.00,105.00
2.00,2017.00,130.00
1.00,2018.00,95.00
2.00,2017.00,140.00
2.00,2017.00,123.00
2.00,2016.00,144.00
1.00,2017.00,112.00
2.00,2017.00,150.00
1.00,2018.00,115.00
7.00,2017.00,124.00
1.00,2017.00,113.00
2.00,2018.00,103.00
2.00,2017.00,105.00
2.00,2017.00,106.00
6.00,2017.00,103.00
2.00,2017.00,119.00
6.00,2017.00,125.00
2.00,2017.00,152.00
1.00,2018.00,116.00
5.00,2017.00,117.00
7.00,2017.00,93.00
14.00,2017.00,97.00
1.00,2016.00,133.00
2.00,2018.00,115.00
7.00,2017.00,112.00
2.00,2017.00,152.00
1.00,2017.00,99.00
6.00,2017.00,103.00
10.00,2017.00,111.00
6.00,2017.00,141.00
2.00,2017.00,135.00
1.00,2017.00,120.00
2.00,2017.00,119.00
13.00,2017.00,132.00
